PREC event_type event_no event 10mins h d dt PET TA TA_min TA_max
0.1 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 50 2 True False True False 3600 0.0021622826666666665 -5.747916666666666 -10.9 -3.6
0.0 0 0 False False False True 86400 0.049590286 -3.6423611111111103 -8.4 -1.3
0.0 0 0 False False False True 86400 0.234587029 -2.8798611111111114 -8.3 2.6
0.0 0 0 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 0 0 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 0 0 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 0 0 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 0 0 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.4 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.1 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 3 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.1 50 4 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.2 50 4 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 4 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 4 True False True False 3600 0.004025646291666663 -2.504861111111111 -3.7 -1.8
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
0.0 50 4 True False True False 3600 0.0011866587083333333 -4.502777777777779 -5.8 -3.7
