;[mm/day];[-];[-];[cm];[degC];[K];[per mil]
tAtm;Prec;rSoil;rRoot;hCritA;tTop;Ampl;cTop
31.0;0.0;0.21174051207110273;0.12467987344771975;100000.0;-3.1125000000000003;0.0;
32.0;0.0;0.16568092096943812;0.09755845046900866;100000.0;-3.8625000000000003;0.0;
33.0;0.0;0.5388695174561903;0.3173043390898687;100000.0;-3.0666666666666664;0.0;
34.0;0.0;0.6214046504909642;0.36590377734149043;100000.0;-2.9499999999999997;0.0;
35.0;0.0;0.6507504843884893;0.3831835828013572;100000.0;-1.25;0.0;
36.0;11.618274141333256;0.21952985062285515;0.12926649570235857;100000.0;3.6208333333333336;0.0;-12.530000000000264
37.0;0.0;0.7432946618686156;0.4376766801481269;100000.0;-0.6291666666666667;0.0;-12.530000000000264
38.0;0.17991004769363877;0.9287376944761597;0.5468717208662012;100000.0;2.1083333333333334;0.0;-12.530000000000264
39.0;0.0;0.8079885127697598;0.4757705766080152;100000.0;4.095833333333333;0.0;
40.0;0.0;0.931807189451953;0.548679141852327;100000.0;4.120833333333334;0.0;
41.0;0.0;0.9568511933444732;0.5634258863718409;100000.0;6.716666666666666;0.0;
42.0;2.4314310712058402;0.17262711440808162;0.10164860076855374;100000.0;7.004166666666666;0.0;-12.530000000000264
43.0;9.275349908446499;0.5706868946562498;0.3360394716534929;100000.0;8.008333333333333;0.0;-7.349999999999968
44.0;12.2100067320451;0.24353831599288256;0.1434034806124725;100000.0;5.554166666666667;0.0;-7.349999999999968
45.0;18.777180616467078;0.22788443825563828;0.13418595546267828;100000.0;2.658333333333333;0.0;-7.349999999999968
46.0;36.128612456658026;0.10299250239119559;0.060645419426803814;100000.0;2.1875;0.0;-7.349999999999968
47.0;0.0;0.40326119937789223;0.2374536398964015;100000.0;-4.25;0.0;
48.0;0.0;0.6925522047676834;0.4077978295309805;100000.0;0.26666666666666666;0.0;
49.0;6.860956413605453;0.3500520354969606;0.2061223100812276;100000.0;3.6333333333333333;0.0;-7.349999999999968
50.0;0.5767815039318458;0.7687378187096863;0.45265845923247117;100000.0;2.558333333333333;0.0;-7.349999999999968
51.0;3.2340591324780643;0.49803235439402577;0.2932580558691839;100000.0;5.7749999999999995;0.0;-7.349999999999968
52.0;0.0;1.0949168712354267;0.644723560957313;100000.0;6.220833333333334;0.0;
53.0;0.0;1.1242903270268314;0.6620196311092768;100000.0;5.045833333333333;0.0;
54.0;0.0;0.9921827932680963;0.5842303104477756;100000.0;5.825;0.0;
55.0;0.0;0.7391754207553155;0.43525113363516466;100000.0;7.820833333333333;0.0;-7.349999999999968
56.0;3.5463178566685962;0.2702971640802588;0.15915998257096636;100000.0;10.991666666666667;0.0;-7.349999999999968
57.0;37.601501427377165;0.1222422460614036;0.07198031033278518;100000.0;7.1125;0.0;-7.349999999999968
58.0;9.661482743600914;0.316225336721429;0.1862040219783294;100000.0;1.8541666666666667;0.0;-6.510000000000016
59.0;0.0;1.1205284570280727;0.6598045166241728;100000.0;2.8958333333333335;0.0;
60.0;0.0;0.9245602920828694;0.7869102816872798;100000.0;9.220833333333333;0.0;
61.0;0.0;1.238708351092911;1.054287476797176;100000.0;10.370833333333334;0.0;
62.0;0.0;0.8374194103222627;0.7127430733397999;100000.0;9.8125;0.0;
63.0;0.0;0.933827040079947;0.7947973814677359;100000.0;11.366666666666667;0.0;
64.0;1.9160027836311777;0.5260088921839847;0.44769584965196957;100000.0;9.283333333333333;0.0;-6.510000000000016
