[%];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h]
SLOPE;VMH200;VMH150;VMH125;VMH100;VMH075;VMH050;VMH030;VMH010
245;130.77;98.08;81.73;65.39;49.04;32.69;19.62;6.54
246;131.04;98.28;81.9;65.52;49.14;32.76;19.66;6.55
247;131.31;98.48;82.07;65.65;49.24;32.83;19.7;6.57
248;131.57;98.68;82.23;65.79;49.34;32.89;19.74;6.58
249;131.84;98.88;82.4;65.92;49.44;32.96;19.78;6.59
250;132.1;99.08;82.56;66.05;49.54;33.03;19.82;6.61
251;132.37;99.27;82.73;66.18;49.64;33.09;19.85;6.62
252;132.63;99.47;82.89;66.31;49.74;33.16;19.89;6.63
253;132.89;99.67;83.06;66.45;49.83;33.22;19.93;6.64
254;133.15;99.87;83.22;66.58;49.93;33.29;19.97;6.66
255;133.42;100.06;83.39;66.71;50.03;33.35;20.01;6.67
256;133.68;100.26;83.55;66.84;50.13;33.42;20.05;6.68
257;133.94;100.45;83.71;66.97;50.23;33.48;20.09;6.7
258;134.2;100.65;83.87;67.1;50.32;33.55;20.13;6.71
259;134.46;100.84;84.04;67.23;50.42;33.61;20.17;6.72
260;134.72;101.04;84.2;67.36;50.52;33.68;20.21;6.74
261;134.98;101.23;84.36;67.49;50.62;33.74;20.25;6.75
262;135.24;101.43;84.52;67.62;50.71;33.81;20.29;6.76
263;135.49;101.62;84.68;67.75;50.81;33.87;20.32;6.77
264;135.75;101.81;84.84;67.88;50.91;33.94;20.36;6.79
265;136.01;102.01;85;68;51;34;20.4;6.8
266;136.26;102.2;85.16;68.13;51.1;34.07;20.44;6.81
267;136.52;102.39;85.32;68.26;51.19;34.13;20.48;6.83
268;136.77;102.58;85.48;68.39;51.29;34.19;20.52;6.84
269;137.03;102.77;85.64;68.51;51.39;34.26;20.55;6.85
270;137.28;102.96;85.8;68.64;51.48;34.32;20.59;6.86
271;137.54;103.15;85.96;68.77;51.58;34.38;20.63;6.88
272;137.79;103.34;86.12;68.9;51.67;34.45;20.67;6.89
273;138.04;103.53;86.28;69.02;51.77;34.51;20.71;6.9
274;138.3;103.72;86.44;69.15;51.86;34.57;20.74;6.91
275;138.55;103.91;86.59;69.27;51.96;34.64;20.78;6.93
276;138.8;104.1;86.75;69.4;52.05;34.7;20.82;6.94
277;139.05;104.29;86.91;69.53;52.14;34.76;20.86;6.95
278;139.3;104.48;87.06;69.65;52.24;34.83;20.9;6.97
279;139.55;104.67;87.22;69.78;52.33;34.89;20.93;6.98
280;139.8;104.85;87.38;69.9;52.43;34.95;20.97;6.99
281;140.05;105.04;87.53;70.03;52.52;35.01;21.01;7
282;140.3;105.23;87.69;70.15;52.61;35.08;21.05;7.02
283;140.55;105.41;87.84;70.28;52.71;35.14;21.08;7.03
284;140.8;105.6;88;70.4;52.8;35.2;21.12;7.04
285;141.05;105.78;88.15;70.52;52.89;35.26;21.16;7.05
286;141.29;105.97;88.31;70.65;52.99;35.32;21.19;7.06
287;141.54;106.16;88.46;70.77;53.08;35.39;21.23;7.08
288;141.79;106.34;88.62;70.89;53.17;35.45;21.27;7.09
289;142.03;106.52;88.77;71.02;53.26;35.51;21.3;7.1
290;142.28;106.71;88.92;71.14;53.35;35.57;21.34;7.11
291;142.52;106.89;89.08;71.26;53.45;35.63;21.38;7.13
292;142.77;107.08;89.23;71.38;53.54;35.69;21.42;7.14
293;143.01;107.26;89.38;71.51;53.63;35.75;21.45;7.15
294;143.26;107.44;89.54;71.63;53.72;35.81;21.49;7.16
295;143.5;107.62;89.69;71.75;53.81;35.87;21.52;7.17
296;143.74;107.81;89.84;71.87;53.9;35.94;21.56;7.19
297;143.99;107.99;89.99;71.99;53.99;36;21.6;7.2
298;144.23;108.17;90.14;72.11;54.09;36.06;21.63;7.21
299;144.47;108.35;90.29;72.23;54.18;36.12;21.67;7.22
300;144.71;108.53;90.44;72.36;54.27;36.18;21.71;7.24
301;144.95;108.71;90.59;72.48;54.36;36.24;21.74;7.25
302;145.19;108.89;90.74;72.6;54.45;36.3;21.78;7.26
303;145.43;109.07;90.9;72.72;54.54;36.36;21.81;7.27
304;145.67;109.25;91.04;72.84;54.63;36.42;21.85;7.28
305;145.91;109.43;91.19;72.96;54.72;36.48;21.89;7.3
306;146.15;109.61;91.34;73.08;54.81;36.54;21.92;7.31
307;146.39;109.79;91.49;73.19;54.9;36.6;21.96;7.32
308;146.63;109.97;91.64;73.31;54.99;36.66;21.99;7.33
309;146.87;110.15;91.79;73.43;55.07;36.72;22.03;7.34
310;147.1;110.33;91.94;73.55;55.16;36.78;22.07;7.36
311;147.34;110.5;92.09;73.67;55.25;36.83;22.1;7.37
312;147.58;110.68;92.24;73.79;55.34;36.89;22.14;7.38
313;147.81;110.86;92.38;73.91;55.43;36.95;22.17;7.39
314;148.05;111.04;92.53;74.02;55.52;37.01;22.21;7.4
315;148.28;111.21;92.68;74.14;55.61;37.07;22.24;7.41
316;148.52;111.39;92.82;74.26;55.69;37.13;22.28;7.43
317;148.75;111.57;92.97;74.38;55.78;37.19;22.31;7.44
318;148.99;111.74;93.12;74.49;55.87;37.25;22.35;7.45
319;149.22;111.92;93.26;74.61;55.96;37.31;22.38;7.46
320;149.46;112.09;93.41;74.73;56.05;37.36;22.42;7.47
321;149.69;112.27;93.56;74.84;56.13;37.42;22.45;7.48
322;149.92;112.44;93.7;74.96;56.22;37.48;22.49;7.5
323;150.16;112.62;93.85;75.08;56.31;37.54;22.52;7.51
324;150.39;112.79;93.99;75.19;56.4;37.6;22.56;7.52
325;150.62;112.96;94.14;75.31;56.48;37.65;22.59;7.53
326;150.85;113.14;94.28;75.43;56.57;37.71;22.63;7.54
327;151.08;113.31;94.43;75.54;56.66;37.77;22.66;7.55
328;151.31;113.48;94.57;75.66;56.74;37.83;22.7;7.57
329;151.54;113.66;94.71;75.77;56.83;37.89;22.73;7.58
330;151.77;113.83;94.86;75.89;56.92;37.94;22.77;7.59
331;152;114;95;76;57;38;22.8;7.6
332;152.23;114.17;95.15;76.12;57.09;38.06;22.83;7.61
333;152.46;114.35;95.29;76.23;57.17;38.12;22.87;7.62
334;152.69;114.52;95.43;76.35;57.26;38.17;22.9;7.63
335;152.92;114.69;95.57;76.46;57.34;38.23;22.94;7.65
336;153.15;114.86;95.72;76.57;57.43;38.29;22.97;7.66
337;153.37;115.03;95.86;76.69;57.52;38.34;23.01;7.67
338;153.6;115.2;96;76.8;57.6;38.4;23.04;7.68
339;153.83;115.37;96.14;76.91;57.69;38.46;23.07;7.69
340;154.06;115.54;96.29;77.03;57.77;38.51;23.11;7.7
341;154.28;115.71;96.43;77.14;57.86;38.57;23.14;7.71
342;154.51;115.88;96.57;77.25;57.94;38.63;23.18;7.73
343;154.73;116.05;96.71;77.37;58.03;38.68;23.21;7.74
344;154.96;116.22;96.85;77.48;58.11;38.74;23.24;7.75
