[%];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h]
SLOPE;VMH200;VMH150;VMH125;VMH100;VMH075;VMH050;VMH030;VMH010
6168;656.16;492.12;410.1;328.08;246.06;164.04;98.42;32.81
6169;656.22;492.16;410.13;328.11;246.08;164.05;98.43;32.81
6170;656.27;492.2;410.17;328.13;246.1;164.07;98.44;32.81
6171;656.32;492.24;410.2;328.16;246.12;164.08;98.45;32.82
6172;656.38;492.28;410.23;328.19;246.14;164.09;98.46;32.82
6173;656.43;492.32;410.27;328.21;246.16;164.11;98.46;32.82
6174;656.48;492.36;410.3;328.24;246.18;164.12;98.47;32.82
6175;656.53;492.4;410.33;328.27;246.2;164.13;98.48;32.83
6176;656.59;492.44;410.37;328.29;246.22;164.15;98.49;32.83
6177;656.64;492.48;410.4;328.32;246.24;164.16;98.5;32.83
6178;656.69;492.52;410.43;328.35;246.26;164.17;98.5;32.83
6179;656.75;492.56;410.47;328.37;246.28;164.19;98.51;32.84
6180;656.8;492.6;410.5;328.4;246.3;164.2;98.52;32.84
6181;656.85;492.64;410.53;328.43;246.32;164.21;98.53;32.84
6182;656.91;492.68;410.57;328.45;246.34;164.23;98.54;32.85
6183;656.96;492.72;410.6;328.48;246.36;164.24;98.54;32.85
6184;657.01;492.76;410.63;328.51;246.38;164.25;98.55;32.85
6185;657.07;492.8;410.67;328.53;246.4;164.27;98.56;32.85
6186;657.12;492.84;410.7;328.56;246.42;164.28;98.57;32.86
6187;657.17;492.88;410.73;328.59;246.44;164.29;98.58;32.86
6188;657.23;492.92;410.77;328.61;246.46;164.31;98.58;32.86
6189;657.28;492.96;410.8;328.64;246.48;164.32;98.59;32.86
6190;657.33;493;410.83;328.67;246.5;164.33;98.6;32.87
6191;657.38;493.04;410.87;328.69;246.52;164.35;98.61;32.87
6192;657.44;493.08;410.9;328.72;246.54;164.36;98.62;32.87
6193;657.49;493.12;410.93;328.75;246.56;164.37;98.62;32.87
6194;657.54;493.16;410.96;328.77;246.58;164.39;98.63;32.88
6195;657.6;493.2;411;328.8;246.6;164.4;98.64;32.88
6196;657.65;493.24;411.03;328.83;246.62;164.41;98.65;32.88
6197;657.7;493.28;411.06;328.85;246.64;164.43;98.66;32.89
6198;657.76;493.32;411.1;328.88;246.66;164.44;98.66;32.89
6199;657.81;493.36;411.13;328.9;246.68;164.45;98.67;32.89
6200;657.86;493.4;411.16;328.93;246.7;164.47;98.68;32.89
6201;657.92;493.44;411.2;328.96;246.72;164.48;98.69;32.9
6202;657.97;493.48;411.23;328.98;246.74;164.49;98.7;32.9
6203;658.02;493.52;411.26;329.01;246.76;164.51;98.7;32.9
6204;658.07;493.56;411.3;329.04;246.78;164.52;98.71;32.9
6205;658.13;493.6;411.33;329.06;246.8;164.53;98.72;32.91
6206;658.18;493.64;411.36;329.09;246.82;164.55;98.73;32.91
6207;658.23;493.68;411.4;329.12;246.84;164.56;98.74;32.91
6208;658.29;493.71;411.43;329.14;246.86;164.57;98.74;32.91
6209;658.34;493.75;411.46;329.17;246.88;164.58;98.75;32.92
6210;658.39;493.79;411.5;329.2;246.9;164.6;98.76;32.92
6211;658.45;493.83;411.53;329.22;246.92;164.61;98.77;32.92
6212;658.5;493.87;411.56;329.25;246.94;164.62;98.77;32.92
6213;658.55;493.91;411.59;329.28;246.96;164.64;98.78;32.93
6214;658.6;493.95;411.63;329.3;246.98;164.65;98.79;32.93
6215;658.66;493.99;411.66;329.33;247;164.66;98.8;32.93
6216;658.71;494.03;411.69;329.36;247.02;164.68;98.81;32.94
6217;658.76;494.07;411.73;329.38;247.04;164.69;98.81;32.94
6218;658.82;494.11;411.76;329.41;247.06;164.7;98.82;32.94
6219;658.87;494.15;411.79;329.43;247.08;164.72;98.83;32.94
6220;658.92;494.19;411.83;329.46;247.1;164.73;98.84;32.95
6221;658.98;494.23;411.86;329.49;247.12;164.74;98.85;32.95
6222;659.03;494.27;411.89;329.51;247.14;164.76;98.85;32.95
6223;659.08;494.31;411.93;329.54;247.16;164.77;98.86;32.95
6224;659.13;494.35;411.96;329.57;247.18;164.78;98.87;32.96
6225;659.19;494.39;411.99;329.59;247.2;164.8;98.88;32.96
6226;659.24;494.43;412.03;329.62;247.22;164.81;98.89;32.96
6227;659.29;494.47;412.06;329.65;247.23;164.82;98.89;32.96
6228;659.35;494.51;412.09;329.67;247.25;164.84;98.9;32.97
6229;659.4;494.55;412.12;329.7;247.27;164.85;98.91;32.97
6230;659.45;494.59;412.16;329.73;247.29;164.86;98.92;32.97
6231;659.5;494.63;412.19;329.75;247.31;164.88;98.93;32.98
6232;659.56;494.67;412.22;329.78;247.33;164.89;98.93;32.98
6233;659.61;494.71;412.26;329.81;247.35;164.9;98.94;32.98
6234;659.66;494.75;412.29;329.83;247.37;164.92;98.95;32.98
6235;659.72;494.79;412.32;329.86;247.39;164.93;98.96;32.99
6236;659.77;494.83;412.36;329.88;247.41;164.94;98.97;32.99
6237;659.82;494.87;412.39;329.91;247.43;164.96;98.97;32.99
6238;659.88;494.91;412.42;329.94;247.45;164.97;98.98;32.99
6239;659.93;494.95;412.46;329.96;247.47;164.98;98.99;33
6240;659.98;494.99;412.49;329.99;247.49;165;99;33
6241;660.03;495.03;412.52;330.02;247.51;165.01;99.01;33
6242;660.09;495.07;412.55;330.04;247.53;165.02;99.01;33
6243;660.14;495.1;412.59;330.07;247.55;165.03;99.02;33.01
6244;660.19;495.14;412.62;330.1;247.57;165.05;99.03;33.01
6245;660.25;495.18;412.65;330.12;247.59;165.06;99.04;33.01
6246;660.3;495.22;412.69;330.15;247.61;165.07;99.04;33.01
6247;660.35;495.26;412.72;330.18;247.63;165.09;99.05;33.02
6248;660.4;495.3;412.75;330.2;247.65;165.1;99.06;33.02
6249;660.46;495.34;412.79;330.23;247.67;165.11;99.07;33.02
6250;660.51;495.38;412.82;330.25;247.69;165.13;99.08;33.03
6251;660.56;495.42;412.85;330.28;247.71;165.14;99.08;33.03
6252;660.62;495.46;412.88;330.31;247.73;165.15;99.09;33.03
6253;660.67;495.5;412.92;330.33;247.75;165.17;99.1;33.03
6254;660.72;495.54;412.95;330.36;247.77;165.18;99.11;33.04
6255;660.77;495.58;412.98;330.39;247.79;165.19;99.12;33.04
6256;660.83;495.62;413.02;330.41;247.81;165.21;99.12;33.04
6257;660.88;495.66;413.05;330.44;247.83;165.22;99.13;33.04
6258;660.93;495.7;413.08;330.47;247.85;165.23;99.14;33.05
6259;660.99;495.74;413.12;330.49;247.87;165.25;99.15;33.05
6260;661.04;495.78;413.15;330.52;247.89;165.26;99.16;33.05
6261;661.09;495.82;413.18;330.55;247.91;165.27;99.16;33.05
6262;661.14;495.86;413.21;330.57;247.93;165.29;99.17;33.06
6263;661.2;495.9;413.25;330.6;247.95;165.3;99.18;33.06
6264;661.25;495.94;413.28;330.62;247.97;165.31;99.19;33.06
6265;661.3;495.98;413.31;330.65;247.99;165.33;99.2;33.07
6266;661.35;496.02;413.35;330.68;248.01;165.34;99.2;33.07
6267;661.41;496.06;413.38;330.7;248.03;165.35;99.21;33.07
6268;661.46;496.1;413.41;330.73;248.05;165.37;99.22;33.07
6269;661.51;496.13;413.45;330.76;248.07;165.38;99.23;33.08
6270;661.57;496.17;413.48;330.78;248.09;165.39;99.23;33.08
6271;661.62;496.21;413.51;330.81;248.11;165.4;99.24;33.08
6272;661.67;496.25;413.54;330.84;248.13;165.42;99.25;33.08
6273;661.72;496.29;413.58;330.86;248.15;165.43;99.26;33.09
6274;661.78;496.33;413.61;330.89;248.17;165.44;99.27;33.09
6275;661.83;496.37;413.64;330.91;248.19;165.46;99.27;33.09
6276;661.88;496.41;413.68;330.94;248.21;165.47;99.28;33.09
6277;661.93;496.45;413.71;330.97;248.23;165.48;99.29;33.1
6278;661.99;496.49;413.74;330.99;248.25;165.5;99.3;33.1
6279;662.04;496.53;413.78;331.02;248.27;165.51;99.31;33.1
6280;662.09;496.57;413.81;331.05;248.28;165.52;99.31;33.1
6281;662.15;496.61;413.84;331.07;248.3;165.54;99.32;33.11
6282;662.2;496.65;413.87;331.1;248.32;165.55;99.33;33.11
6283;662.25;496.69;413.91;331.13;248.34;165.56;99.34;33.11
6284;662.3;496.73;413.94;331.15;248.36;165.58;99.35;33.12
6285;662.36;496.77;413.97;331.18;248.38;165.59;99.35;33.12
6286;662.41;496.81;414.01;331.2;248.4;165.6;99.36;33.12
6287;662.46;496.85;414.04;331.23;248.42;165.62;99.37;33.12
6288;662.51;496.89;414.07;331.26;248.44;165.63;99.38;33.13
6289;662.57;496.93;414.1;331.28;248.46;165.64;99.39;33.13
6290;662.62;496.96;414.14;331.31;248.48;165.65;99.39;33.13
6291;662.67;497;414.17;331.34;248.5;165.67;99.4;33.13
6292;662.73;497.04;414.2;331.36;248.52;165.68;99.41;33.14
6293;662.78;497.08;414.24;331.39;248.54;165.69;99.42;33.14
6294;662.83;497.12;414.27;331.42;248.56;165.71;99.42;33.14
6295;662.88;497.16;414.3;331.44;248.58;165.72;99.43;33.14
6296;662.94;497.2;414.33;331.47;248.6;165.73;99.44;33.15
6297;662.99;497.24;414.37;331.49;248.62;165.75;99.45;33.15
6298;663.04;497.28;414.4;331.52;248.64;165.76;99.46;33.15
6299;663.09;497.32;414.43;331.55;248.66;165.77;99.46;33.15
6300;663.15;497.36;414.47;331.57;248.68;165.79;99.47;33.16
6301;663.2;497.4;414.5;331.6;248.7;165.8;99.48;33.16
6302;663.25;497.44;414.53;331.63;248.72;165.81;99.49;33.16
6303;663.3;497.48;414.57;331.65;248.74;165.83;99.5;33.17
6304;663.36;497.52;414.6;331.68;248.76;165.84;99.5;33.17
6305;663.41;497.56;414.63;331.7;248.78;165.85;99.51;33.17
6306;663.46;497.6;414.66;331.73;248.8;165.87;99.52;33.17
6307;663.51;497.64;414.7;331.76;248.82;165.88;99.53;33.18
6308;663.57;497.68;414.73;331.78;248.84;165.89;99.54;33.18
6309;663.62;497.71;414.76;331.81;248.86;165.9;99.54;33.18
6310;663.67;497.75;414.8;331.84;248.88;165.92;99.55;33.18
6311;663.73;497.79;414.83;331.86;248.9;165.93;99.56;33.19
6312;663.78;497.83;414.86;331.89;248.92;165.94;99.57;33.19
6313;663.83;497.87;414.89;331.92;248.94;165.96;99.57;33.19
6314;663.88;497.91;414.93;331.94;248.96;165.97;99.58;33.19
6315;663.94;497.95;414.96;331.97;248.98;165.98;99.59;33.2
6316;663.99;497.99;414.99;331.99;249;166;99.6;33.2
6317;664.04;498.03;415.03;332.02;249.02;166.01;99.61;33.2
6318;664.09;498.07;415.06;332.05;249.03;166.02;99.61;33.2
6319;664.15;498.11;415.09;332.07;249.05;166.04;99.62;33.21
6320;664.2;498.15;415.12;332.1;249.07;166.05;99.63;33.21
6321;664.25;498.19;415.16;332.13;249.09;166.06;99.64;33.21
6322;664.3;498.23;415.19;332.15;249.11;166.08;99.65;33.22
6323;664.36;498.27;415.22;332.18;249.13;166.09;99.65;33.22
6324;664.41;498.31;415.26;332.2;249.15;166.1;99.66;33.22
6325;664.46;498.35;415.29;332.23;249.17;166.12;99.67;33.22
6326;664.51;498.39;415.32;332.26;249.19;166.13;99.68;33.23
6327;664.57;498.42;415.35;332.28;249.21;166.14;99.68;33.23
6328;664.62;498.46;415.39;332.31;249.23;166.15;99.69;33.23
6329;664.67;498.5;415.42;332.34;249.25;166.17;99.7;33.23
6330;664.72;498.54;415.45;332.36;249.27;166.18;99.71;33.24
6331;664.78;498.58;415.48;332.39;249.29;166.19;99.72;33.24
6332;664.83;498.62;415.52;332.41;249.31;166.21;99.72;33.24
6333;664.88;498.66;415.55;332.44;249.33;166.22;99.73;33.24
6334;664.93;498.7;415.58;332.47;249.35;166.23;99.74;33.25
6335;664.99;498.74;415.62;332.49;249.37;166.25;99.75;33.25
6336;665.04;498.78;415.65;332.52;249.39;166.26;99.76;33.25
6337;665.09;498.82;415.68;332.55;249.41;166.27;99.76;33.25
6338;665.14;498.86;415.71;332.57;249.43;166.29;99.77;33.26
6339;665.2;498.9;415.75;332.6;249.45;166.3;99.78;33.26
6340;665.25;498.94;415.78;332.62;249.47;166.31;99.79;33.26
6341;665.3;498.98;415.81;332.65;249.49;166.33;99.8;33.27
6342;665.35;499.01;415.85;332.68;249.51;166.34;99.8;33.27
6343;665.41;499.05;415.88;332.7;249.53;166.35;99.81;33.27
6344;665.46;499.09;415.91;332.73;249.55;166.36;99.82;33.27
6345;665.51;499.13;415.94;332.76;249.57;166.38;99.83;33.28
6346;665.56;499.17;415.98;332.78;249.59;166.39;99.83;33.28
6347;665.62;499.21;416.01;332.81;249.61;166.4;99.84;33.28
6348;665.67;499.25;416.04;332.83;249.63;166.42;99.85;33.28
6349;665.72;499.29;416.08;332.86;249.65;166.43;99.86;33.29
6350;665.77;499.33;416.11;332.89;249.66;166.44;99.87;33.29
6351;665.83;499.37;416.14;332.91;249.68;166.46;99.87;33.29
6352;665.88;499.41;416.17;332.94;249.7;166.47;99.88;33.29
6353;665.93;499.45;416.21;332.97;249.72;166.48;99.89;33.3
6354;665.98;499.49;416.24;332.99;249.74;166.5;99.9;33.3
6355;666.03;499.53;416.27;333.02;249.76;166.51;99.91;33.3
6356;666.09;499.57;416.3;333.04;249.78;166.52;99.91;33.3
6357;666.14;499.6;416.34;333.07;249.8;166.53;99.92;33.31
6358;666.19;499.64;416.37;333.1;249.82;166.55;99.93;33.31
6359;666.24;499.68;416.4;333.12;249.84;166.56;99.94;33.31
6360;666.3;499.72;416.44;333.15;249.86;166.57;99.94;33.31
6361;666.35;499.76;416.47;333.17;249.88;166.59;99.95;33.32
6362;666.4;499.8;416.5;333.2;249.9;166.6;99.96;33.32
6363;666.45;499.84;416.53;333.23;249.92;166.61;99.97;33.32
6364;666.51;499.88;416.57;333.25;249.94;166.63;99.98;33.33
6365;666.56;499.92;416.6;333.28;249.96;166.64;99.98;33.33
6366;666.61;499.96;416.63;333.31;249.98;166.65;99.99;33.33
6367;666.66;500;416.66;333.33;250;166.67;100;33.33
6368;666.72;500.04;416.7;333.36;250.02;166.68;100.01;33.34
6369;666.77;500.08;416.73;333.38;250.04;166.69;100.02;33.34
6370;666.82;500.12;416.76;333.41;250.06;166.71;100.02;33.34
6371;666.87;500.15;416.8;333.44;250.08;166.72;100.03;33.34
6372;666.93;500.19;416.83;333.46;250.1;166.73;100.04;33.35
6373;666.98;500.23;416.86;333.49;250.12;166.74;100.05;33.35
6374;667.03;500.27;416.89;333.51;250.14;166.76;100.05;33.35
6375;667.08;500.31;416.93;333.54;250.16;166.77;100.06;33.35
6376;667.13;500.35;416.96;333.57;250.18;166.78;100.07;33.36
6377;667.19;500.39;416.99;333.59;250.2;166.8;100.08;33.36
6378;667.24;500.43;417.02;333.62;250.21;166.81;100.09;33.36
6379;667.29;500.47;417.06;333.65;250.23;166.82;100.09;33.36
6380;667.34;500.51;417.09;333.67;250.25;166.84;100.1;33.37
6381;667.4;500.55;417.12;333.7;250.27;166.85;100.11;33.37
6382;667.45;500.59;417.16;333.72;250.29;166.86;100.12;33.37
6383;667.5;500.63;417.19;333.75;250.31;166.88;100.13;33.38
6384;667.55;500.66;417.22;333.78;250.33;166.89;100.13;33.38
6385;667.61;500.7;417.25;333.8;250.35;166.9;100.14;33.38
6386;667.66;500.74;417.29;333.83;250.37;166.91;100.15;33.38
6387;667.71;500.78;417.32;333.85;250.39;166.93;100.16;33.39
6388;667.76;500.82;417.35;333.88;250.41;166.94;100.16;33.39
6389;667.81;500.86;417.38;333.91;250.43;166.95;100.17;33.39
6390;667.87;500.9;417.42;333.93;250.45;166.97;100.18;33.39
6391;667.92;500.94;417.45;333.96;250.47;166.98;100.19;33.4
6392;667.97;500.98;417.48;333.99;250.49;166.99;100.2;33.4
6393;668.02;501.02;417.51;334.01;250.51;167.01;100.2;33.4
6394;668.08;501.06;417.55;334.04;250.53;167.02;100.21;33.4
6395;668.13;501.1;417.58;334.06;250.55;167.03;100.22;33.41
6396;668.18;501.13;417.61;334.09;250.57;167.04;100.23;33.41
6397;668.23;501.17;417.65;334.12;250.59;167.06;100.23;33.41
6398;668.28;501.21;417.68;334.14;250.61;167.07;100.24;33.41
6399;668.34;501.25;417.71;334.17;250.63;167.08;100.25;33.42
6400;668.39;501.29;417.74;334.19;250.65;167.1;100.26;33.42
6401;668.44;501.33;417.78;334.22;250.67;167.11;100.27;33.42
6402;668.49;501.37;417.81;334.25;250.68;167.12;100.27;33.42
6403;668.55;501.41;417.84;334.27;250.7;167.14;100.28;33.43
6404;668.6;501.45;417.87;334.3;250.72;167.15;100.29;33.43
6405;668.65;501.49;417.91;334.32;250.74;167.16;100.3;33.43
6406;668.7;501.53;417.94;334.35;250.76;167.18;100.31;33.44
6407;668.75;501.57;417.97;334.38;250.78;167.19;100.31;33.44
6408;668.81;501.6;418;334.4;250.8;167.2;100.32;33.44
6409;668.86;501.64;418.04;334.43;250.82;167.21;100.33;33.44
6410;668.91;501.68;418.07;334.46;250.84;167.23;100.34;33.45
6411;668.96;501.72;418.1;334.48;250.86;167.24;100.34;33.45
6412;669.02;501.76;418.13;334.51;250.88;167.25;100.35;33.45
6413;669.07;501.8;418.17;334.53;250.9;167.27;100.36;33.45
6414;669.12;501.84;418.2;334.56;250.92;167.28;100.37;33.46
6415;669.17;501.88;418.23;334.59;250.94;167.29;100.38;33.46
6416;669.22;501.92;418.26;334.61;250.96;167.31;100.38;33.46
6417;669.28;501.96;418.3;334.64;250.98;167.32;100.39;33.46
6418;669.33;502;418.33;334.66;251;167.33;100.4;33.47
6419;669.38;502.04;418.36;334.69;251.02;167.35;100.41;33.47
6420;669.43;502.07;418.4;334.72;251.04;167.36;100.41;33.47
6421;669.48;502.11;418.43;334.74;251.06;167.37;100.42;33.47
6422;669.54;502.15;418.46;334.77;251.08;167.38;100.43;33.48
6423;669.59;502.19;418.49;334.79;251.1;167.4;100.44;33.48
6424;669.64;502.23;418.53;334.82;251.12;167.41;100.45;33.48
6425;669.69;502.27;418.56;334.85;251.13;167.42;100.45;33.48
6426;669.75;502.31;418.59;334.87;251.15;167.44;100.46;33.49
6427;669.8;502.35;418.62;334.9;251.17;167.45;100.47;33.49
6428;669.85;502.39;418.66;334.92;251.19;167.46;100.48;33.49
6429;669.9;502.43;418.69;334.95;251.21;167.48;100.49;33.5
6430;669.95;502.47;418.72;334.98;251.23;167.49;100.49;33.5
6431;670.01;502.5;418.75;335;251.25;167.5;100.5;33.5
6432;670.06;502.54;418.79;335.03;251.27;167.51;100.51;33.5
6433;670.11;502.58;418.82;335.05;251.29;167.53;100.52;33.51
6434;670.16;502.62;418.85;335.08;251.31;167.54;100.52;33.51
6435;670.21;502.66;418.88;335.11;251.33;167.55;100.53;33.51
6436;670.27;502.7;418.92;335.13;251.35;167.57;100.54;33.51
6437;670.32;502.74;418.95;335.16;251.37;167.58;100.55;33.52
6438;670.37;502.78;418.98;335.19;251.39;167.59;100.56;33.52
6439;670.42;502.82;419.01;335.21;251.41;167.61;100.56;33.52
6440;670.47;502.86;419.05;335.24;251.43;167.62;100.57;33.52
6441;670.53;502.89;419.08;335.26;251.45;167.63;100.58;33.53
6442;670.58;502.93;419.11;335.29;251.47;167.64;100.59;33.53
6443;670.63;502.97;419.14;335.32;251.49;167.66;100.59;33.53
6444;670.68;503.01;419.18;335.34;251.51;167.67;100.6;33.53
6445;670.73;503.05;419.21;335.37;251.53;167.68;100.61;33.54
6446;670.79;503.09;419.24;335.39;251.54;167.7;100.62;33.54
6447;670.84;503.13;419.27;335.42;251.56;167.71;100.63;33.54
6448;670.89;503.17;419.31;335.45;251.58;167.72;100.63;33.54
6449;670.94;503.21;419.34;335.47;251.6;167.74;100.64;33.55
6450;670.99;503.25;419.37;335.5;251.62;167.75;100.65;33.55
6451;671.05;503.28;419.4;335.52;251.64;167.76;100.66;33.55
6452;671.1;503.32;419.44;335.55;251.66;167.77;100.66;33.55
6453;671.15;503.36;419.47;335.58;251.68;167.79;100.67;33.56
6454;671.2;503.4;419.5;335.6;251.7;167.8;100.68;33.56
6455;671.25;503.44;419.53;335.63;251.72;167.81;100.69;33.56
6456;671.31;503.48;419.57;335.65;251.74;167.83;100.7;33.57
6457;671.36;503.52;419.6;335.68;251.76;167.84;100.7;33.57
6458;671.41;503.56;419.63;335.71;251.78;167.85;100.71;33.57
6459;671.46;503.6;419.66;335.73;251.8;167.87;100.72;33.57
6460;671.51;503.64;419.7;335.76;251.82;167.88;100.73;33.58
6461;671.57;503.67;419.73;335.78;251.84;167.89;100.73;33.58
6462;671.62;503.71;419.76;335.81;251.86;167.9;100.74;33.58
6463;671.67;503.75;419.79;335.84;251.88;167.92;100.75;33.58
6464;671.72;503.79;419.83;335.86;251.9;167.93;100.76;33.59
6465;671.77;503.83;419.86;335.89;251.92;167.94;100.77;33.59
6466;671.83;503.87;419.89;335.91;251.93;167.96;100.77;33.59
6467;671.88;503.91;419.92;335.94;251.95;167.97;100.78;33.59
6468;671.93;503.95;419.96;335.97;251.97;167.98;100.79;33.6
6469;671.98;503.99;419.99;335.99;251.99;168;100.8;33.6
6470;672.03;504.03;420.02;336.02;252.01;168.01;100.81;33.6
6471;672.09;504.06;420.05;336.04;252.03;168.02;100.81;33.6
6472;672.14;504.1;420.09;336.07;252.05;168.03;100.82;33.61
6473;672.19;504.14;420.12;336.09;252.07;168.05;100.83;33.61
6474;672.24;504.18;420.15;336.12;252.09;168.06;100.84;33.61
6475;672.29;504.22;420.18;336.15;252.11;168.07;100.84;33.61
6476;672.35;504.26;420.22;336.17;252.13;168.09;100.85;33.62
6477;672.4;504.3;420.25;336.2;252.15;168.1;100.86;33.62
6478;672.45;504.34;420.28;336.22;252.17;168.11;100.87;33.62
6479;672.5;504.38;420.31;336.25;252.19;168.13;100.88;33.63
6480;672.55;504.41;420.35;336.28;252.21;168.14;100.88;33.63
6481;672.61;504.45;420.38;336.3;252.23;168.15;100.89;33.63
6482;672.66;504.49;420.41;336.33;252.25;168.16;100.9;33.63
6483;672.71;504.53;420.44;336.35;252.27;168.18;100.91;33.64
6484;672.76;504.57;420.48;336.38;252.29;168.19;100.91;33.64
6485;672.81;504.61;420.51;336.41;252.3;168.2;100.92;33.64
6486;672.86;504.65;420.54;336.43;252.32;168.22;100.93;33.64
6487;672.92;504.69;420.57;336.46;252.34;168.23;100.94;33.65
6488;672.97;504.73;420.61;336.48;252.36;168.24;100.95;33.65
6489;673.02;504.77;420.64;336.51;252.38;168.26;100.95;33.65
6490;673.07;504.8;420.67;336.54;252.4;168.27;100.96;33.65
6491;673.12;504.84;420.7;336.56;252.42;168.28;100.97;33.66
6492;673.18;504.88;420.73;336.59;252.44;168.29;100.98;33.66
6493;673.23;504.92;420.77;336.61;252.46;168.31;100.98;33.66
6494;673.28;504.96;420.8;336.64;252.48;168.32;100.99;33.66
6495;673.33;505;420.83;336.67;252.5;168.33;101;33.67
6496;673.38;505.04;420.86;336.69;252.52;168.35;101.01;33.67
6497;673.43;505.08;420.9;336.72;252.54;168.36;101.02;33.67
6498;673.49;505.12;420.93;336.74;252.56;168.37;101.02;33.67
6499;673.54;505.15;420.96;336.77;252.58;168.38;101.03;33.68
6500;673.59;505.19;420.99;336.8;252.6;168.4;101.04;33.68
6501;673.64;505.23;421.03;336.82;252.62;168.41;101.05;33.68
6502;673.69;505.27;421.06;336.85;252.64;168.42;101.05;33.68
6503;673.75;505.31;421.09;336.87;252.65;168.44;101.06;33.69
6504;673.8;505.35;421.12;336.9;252.67;168.45;101.07;33.69
6505;673.85;505.39;421.16;336.92;252.69;168.46;101.08;33.69
6506;673.9;505.43;421.19;336.95;252.71;168.48;101.09;33.7
6507;673.95;505.46;421.22;336.98;252.73;168.49;101.09;33.7
6508;674;505.5;421.25;337;252.75;168.5;101.1;33.7
6509;674.06;505.54;421.29;337.03;252.77;168.51;101.11;33.7
6510;674.11;505.58;421.32;337.05;252.79;168.53;101.12;33.71
6511;674.16;505.62;421.35;337.08;252.81;168.54;101.12;33.71
6512;674.21;505.66;421.38;337.11;252.83;168.55;101.13;33.71
6513;674.26;505.7;421.41;337.13;252.85;168.57;101.14;33.71
6514;674.32;505.74;421.45;337.16;252.87;168.58;101.15;33.72
6515;674.37;505.78;421.48;337.18;252.89;168.59;101.16;33.72
6516;674.42;505.81;421.51;337.21;252.91;168.6;101.16;33.72
6517;674.47;505.85;421.54;337.24;252.93;168.62;101.17;33.72
6518;674.52;505.89;421.58;337.26;252.95;168.63;101.18;33.73
6519;674.57;505.93;421.61;337.29;252.97;168.64;101.19;33.73
6520;674.63;505.97;421.64;337.31;252.98;168.66;101.19;33.73
6521;674.68;506.01;421.67;337.34;253;168.67;101.2;33.73
6522;674.73;506.05;421.71;337.36;253.02;168.68;101.21;33.74
6523;674.78;506.09;421.74;337.39;253.04;168.7;101.22;33.74
6524;674.83;506.12;421.77;337.42;253.06;168.71;101.22;33.74
6525;674.88;506.16;421.8;337.44;253.08;168.72;101.23;33.74
6526;674.94;506.2;421.84;337.47;253.1;168.73;101.24;33.75
6527;674.99;506.24;421.87;337.49;253.12;168.75;101.25;33.75
6528;675.04;506.28;421.9;337.52;253.14;168.76;101.26;33.75
6529;675.09;506.32;421.93;337.55;253.16;168.77;101.26;33.75
6530;675.14;506.36;421.96;337.57;253.18;168.79;101.27;33.76
6531;675.19;506.4;422;337.6;253.2;168.8;101.28;33.76
6532;675.25;506.43;422.03;337.62;253.22;168.81;101.29;33.76
6533;675.3;506.47;422.06;337.65;253.24;168.82;101.29;33.76
6534;675.35;506.51;422.09;337.67;253.26;168.84;101.3;33.77
6535;675.4;506.55;422.13;337.7;253.28;168.85;101.31;33.77
6536;675.45;506.59;422.16;337.73;253.29;168.86;101.32;33.77
6537;675.5;506.63;422.19;337.75;253.31;168.88;101.33;33.78
6538;675.56;506.67;422.22;337.78;253.33;168.89;101.33;33.78
6539;675.61;506.71;422.26;337.8;253.35;168.9;101.34;33.78
6540;675.66;506.74;422.29;337.83;253.37;168.91;101.35;33.78
6541;675.71;506.78;422.32;337.86;253.39;168.93;101.36;33.79
6542;675.76;506.82;422.35;337.88;253.41;168.94;101.36;33.79
6543;675.81;506.86;422.38;337.91;253.43;168.95;101.37;33.79
6544;675.87;506.9;422.42;337.93;253.45;168.97;101.38;33.79
6545;675.92;506.94;422.45;337.96;253.47;168.98;101.39;33.8
6546;675.97;506.98;422.48;337.98;253.49;168.99;101.4;33.8
6547;676.02;507.02;422.51;338.01;253.51;169.01;101.4;33.8
6548;676.07;507.05;422.55;338.04;253.53;169.02;101.41;33.8
6549;676.12;507.09;422.58;338.06;253.55;169.03;101.42;33.81
6550;676.18;507.13;422.61;338.09;253.57;169.04;101.43;33.81
6551;676.23;507.17;422.64;338.11;253.59;169.06;101.43;33.81
6552;676.28;507.21;422.67;338.14;253.6;169.07;101.44;33.81
6553;676.33;507.25;422.71;338.17;253.62;169.08;101.45;33.82
6554;676.38;507.29;422.74;338.19;253.64;169.1;101.46;33.82
6555;676.43;507.33;422.77;338.22;253.66;169.11;101.47;33.82
6556;676.49;507.36;422.8;338.24;253.68;169.12;101.47;33.82
6557;676.54;507.4;422.84;338.27;253.7;169.13;101.48;33.83
6558;676.59;507.44;422.87;338.29;253.72;169.15;101.49;33.83
6559;676.64;507.48;422.9;338.32;253.74;169.16;101.5;33.83
6560;676.69;507.52;422.93;338.35;253.76;169.17;101.5;33.83
6561;676.74;507.56;422.96;338.37;253.78;169.19;101.51;33.84
6562;676.8;507.6;423;338.4;253.8;169.2;101.52;33.84
6563;676.85;507.64;423.03;338.42;253.82;169.21;101.53;33.84
6564;676.9;507.67;423.06;338.45;253.84;169.22;101.53;33.84
6565;676.95;507.71;423.09;338.47;253.86;169.24;101.54;33.85
6566;677;507.75;423.13;338.5;253.88;169.25;101.55;33.85
