YYYY	MM	DD	hh	mm	d18O
1999	2	13	0	0	
1999	2	14	0	0	-12.14
1999	2	15	0	0	
1999	2	16	0	0	-12.14
1999	2	17	0	0	-12.14
1999	2	18	0	0	-12.14
1999	2	19	0	0	-12.14
1999	2	20	0	0	-12.14
1999	2	21	0	0	-12.14
1999	2	22	0	0	-12.14
1999	2	23	0	0	-12.14
1999	2	24	0	0	-12.14
1999	2	25	0	0	-12.14
1999	2	26	0	0	
1999	2	27	0	0	
1999	2	28	0	0	
1999	3	1	0	0	-13.86
1999	3	2	0	0	-13.86
1999	3	3	0	0	-13.86
1999	3	4	0	0	-13.86
1999	3	5	0	0	-13.86
1999	3	6	0	0	-13.86
1999	3	7	0	0	-13.86
1999	3	8	0	0	-13.86
1999	3	9	0	0	-13.86
1999	3	10	0	0	-13.86
1999	3	11	0	0	-13.86
1999	3	12	0	0	
1999	3	13	0	0	
1999	3	14	0	0	-11.25
1999	3	15	0	0	
1999	3	16	0	0	
1999	3	17	0	0	
1999	3	18	0	0	
1999	3	19	0	0	-11.25
1999	3	20	0	0	-11.25
1999	3	21	0	0	
1999	3	22	0	0	-11.25
1999	3	23	0	0	-11.25
1999	3	24	0	0	-11.25
1999	3	25	0	0	
1999	3	26	0	0	
1999	3	27	0	0	-10.03
1999	3	28	0	0	
1999	3	29	0	0	
1999	3	30	0	0	
1999	3	31	0	0	
1999	4	1	0	0	
1999	4	2	0	0	-10.03
1999	4	3	0	0	-10.03
1999	4	4	0	0	-10.03
1999	4	5	0	0	
1999	4	6	0	0	-10.03
1999	4	7	0	0	-10.03
1999	4	8	0	0	-11.0
1999	4	9	0	0	
1999	4	10	0	0	
1999	4	11	0	0	-11.0
1999	4	12	0	0	-11.0
1999	4	13	0	0	-11.0
1999	4	14	0	0	-11.0
1999	4	15	0	0	-11.0
1999	4	16	0	0	-11.0
1999	4	17	0	0	-11.0
1999	4	18	0	0	-11.0
1999	4	19	0	0	-11.0
1999	4	20	0	0	
1999	4	21	0	0	-11.0
1999	4	22	0	0	-8.26
1999	4	23	0	0	-8.26
1999	4	24	0	0	-8.26
1999	4	25	0	0	-8.26
1999	4	26	0	0	
1999	4	27	0	0	
1999	4	28	0	0	
1999	4	29	0	0	-8.26
1999	4	30	0	0	-8.26
1999	5	1	0	0	
1999	5	2	0	0	
1999	5	3	0	0	
1999	5	4	0	0	
1999	5	5	0	0	
1999	5	6	0	0	-8.93
1999	5	7	0	0	-8.93
1999	5	8	0	0	-8.93
1999	5	9	0	0	-8.93
1999	5	10	0	0	-8.93
1999	5	11	0	0	-8.93
1999	5	12	0	0	-8.93
1999	5	13	0	0	-8.93
1999	5	14	0	0	-8.93
1999	5	15	0	0	-8.93
1999	5	16	0	0	
1999	5	17	0	0	-8.93
1999	5	18	0	0	-8.93
1999	5	19	0	0	-7.04
1999	5	20	0	0	-7.04
1999	5	21	0	0	-7.04
1999	5	22	0	0	-7.04
1999	5	23	0	0	-7.04
1999	5	24	0	0	
1999	5	25	0	0	-7.04
1999	5	26	0	0	
1999	5	27	0	0	
1999	5	28	0	0	
1999	5	29	0	0	
1999	5	30	0	0	
1999	5	31	0	0	-7.04
1999	6	1	0	0	
1999	6	2	0	0	-7.99
1999	6	3	0	0	-7.99
1999	6	4	0	0	-7.99
1999	6	5	0	0	
1999	6	6	0	0	-7.99
1999	6	7	0	0	-7.99
1999	6	8	0	0	-7.99
1999	6	9	0	0	
1999	6	10	0	0	-7.99
1999	6	11	0	0	-7.99
1999	6	12	0	0	-7.99
1999	6	13	0	0	-7.99
1999	6	14	0	0	-7.99
1999	6	15	0	0	-7.99
1999	6	16	0	0	
1999	6	17	0	0	
1999	6	18	0	0	-8.51
1999	6	19	0	0	
1999	6	20	0	0	
1999	6	21	0	0	-8.51
1999	6	22	0	0	-8.51
1999	6	23	0	0	
1999	6	24	0	0	
1999	6	25	0	0	
1999	6	26	0	0	-6.91
1999	6	27	0	0	-6.91
1999	6	28	0	0	-6.91
1999	6	29	0	0	-6.91
1999	6	30	0	0	-6.91
1999	7	1	0	0	
1999	7	2	0	0	
1999	7	3	0	0	
