Name: Altheim, Kreis Biberach (ID: 4189)			
Lat: 48.1479   ,Lon: 9.4596			
Jahr	Monat	Tag	ET
2015	4	18	2.4
2015	4	19	3.4
2015	4	20	3.5
2015	4	21	3.5
2015	4	22	4.2
2015	4	23	2.9
2015	4	24	3.6
2015	4	25	2.2
2015	4	26	3.3
2015	4	27	3.4
2015	4	28	1.6
2015	4	29	2.8
2015	4	30	2.8
2015	5	1	1.0
2015	5	2	1.5
2015	5	3	1.5
2015	5	4	1.7
2015	5	5	2.3
2015	5	6	2.5
2015	5	7	3.3
2015	5	8	4.2
2015	5	9	2.9
2015	5	10	4.0
2015	5	11	4.3
2015	5	12	5.5
2015	5	13	3.8
2015	5	14	2.0
2015	5	15	1.3
2015	5	16	3.0
2015	5	17	2.9
2015	5	18	4.5
2015	5	19	1.4
2015	5	20	1.5
2015	5	21	1.8
2015	5	22	3.4
2015	5	23	2.5
2015	5	24	3.0
2015	5	25	1.6
2015	5	26	1.8
2015	5	27	2.5
2015	5	28	4.4
2015	5	29	4.0
2015	5	30	2.2
2015	5	31	4.3
2015	6	1	3.5
2015	6	2	4.9
2015	6	3	5.4
2015	6	4	5.2
2015	6	5	5.5
2015	6	6	5.5
2015	6	7	5.3
2015	6	8	1.6
2015	6	9	1.7
2015	6	10	1.5
2015	6	11	3.4
2015	6	12	4.9
2015	6	13	4.8
2015	6	14	4.4
2015	6	15	1.6
2015	6	16	2.5
2015	6	17	3.4
2015	6	18	1.5
2015	6	19	3.0
2015	6	20	1.9
2015	6	21	2.3
2015	6	22	1.9
2015	6	23	3.2
2015	6	24	3.5
2015	6	25	4.1
2015	6	26	4.8
2015	6	27	3.1
2015	6	28	4.6
2015	6	29	4.9
2015	6	30	5.4
2015	7	1	6.1
2015	7	2	6.1
2015	7	3	4.9
2015	7	4	5.4
2015	7	5	6.2
2015	7	6	4.6
2015	7	7	6.0
2015	7	8	4.1
2015	7	9	3.7
2015	7	10	4.6
2015	7	11	5.8
2015	7	12	5.5
2015	7	13	2.7
2015	7	14	5.2
2015	7	15	5.1
2015	7	16	5.4
2015	7	17	4.6
2015	7	18	3.5
2015	7	19	4.2
2015	7	20	5.0
2015	7	21	5.5
2015	7	22	5.6
2015	7	23	2.5
2015	7	24	5.1
2015	7	25	5.1
2015	7	26	3.9
2015	7	27	4.4
2015	7	28	3.7
2015	7	29	1.7
2015	7	30	3.6
2015	7	31	4.5
2015	8	1	1.8
2015	8	2	4.0
2015	8	3	5.0
2015	8	4	3.4
2015	8	5	4.2
2015	8	6	5.3
2015	8	7	5.4
2015	8	8	6.2
2015	8	9	5.3
2015	8	10	2.4
2015	8	11	4.1
2015	8	12	3.7
2015	8	13	5.3
2015	8	14	2.8
2015	8	15	1.8
2015	8	16	1.8
2015	8	17	1.3
2015	8	18	3.0
2015	8	19	1.3
2015	8	20	1.7
2015	8	21	3.3
2015	8	22	3.8
2015	8	23	2.5
2015	8	24	1.8
2015	8	25	2.9
2015	8	26	3.5
2015	8	27	4.3
2015	8	28	3.7
2015	8	29	4.1
2015	8	30	4.3
2015	8	31	4.5
2015	9	1	1.9
2015	9	2	2.0
2015	9	3	1.2
2015	9	4	2.3
2015	9	5	2.2
2015	9	6	2.0
2015	9	7	1.3
2015	9	8	1.9
2015	9	9	2.5
2015	9	10	1.6
2015	9	11	2.2
2015	9	12	3.2
2015	9	13	1.5
2015	9	14	1.7
2015	9	15	1.1
2015	9	16	1.1
2015	9	17	0.8
2015	9	18	0.8
