YYYY	MM	DD	hh	mm	TA
2000	6	7	0	0	5.8
2000	6	8	0	0	11.8
2000	6	9	0	0	17.3
2000	6	10	0	0	15.0
2000	6	11	0	0	11.6
2000	6	12	0	0	12.0
2000	6	13	0	0	12.3
2000	6	14	0	0	12.7
2000	6	15	0	0	10.1
2000	6	16	0	0	7.5
2000	6	17	0	0	9.8
2000	6	18	0	0	16.1
2000	6	19	0	0	18.5
2000	6	20	0	0	19.8
2000	6	21	0	0	16.4
2000	6	22	0	0	10.7
2000	6	23	0	0	7.6
2000	6	24	0	0	4.4
2000	6	25	0	0	3.6
2000	6	26	0	0	4.6
2000	6	27	0	0	8.7
2000	6	28	0	0	7.8
2000	6	29	0	0	8.6
2000	6	30	0	0	12.0
2000	7	1	0	0	14.2
2000	7	2	0	0	17.3
2000	7	3	0	0	12.5
2000	7	4	0	0	9.6
2000	7	5	0	0	11.3
2000	7	6	0	0	13.0
2000	7	7	0	0	11.2
2000	7	8	0	0	4.2
2000	7	9	0	0	5.8
2000	7	10	0	0	5.0
2000	7	11	0	0	4.1
2000	7	12	0	0	3.3
2000	7	13	0	0	5.1
2000	7	14	0	0	4.3
2000	7	15	0	0	2.4
2000	7	16	0	0	3.8
2000	7	17	0	0	6.0
2000	7	18	0	0	8.7
2000	7	19	0	0	7.1
2000	7	20	0	0	8.6
2000	7	21	0	0	10.5
2000	7	22	0	0	12.9
2000	7	23	0	0	12.6
2000	7	24	0	0	10.7
2000	7	25	0	0	10.5
2000	7	26	0	0	9.8
2000	7	27	0	0	11.2
2000	7	28	0	0	8.0
2000	7	29	0	0	7.0
2000	7	30	0	0	9.0
2000	7	31	0	0	12.2
2000	8	1	0	0	16.4
2000	8	2	0	0	11.1
2000	8	3	0	0	8.4
2000	8	4	0	0	8.5
2000	8	5	0	0	7.9
2000	8	6	0	0	9.2
2000	8	7	0	0	10.6
2000	8	8	0	0	11.2
2000	8	9	0	0	13.0
2000	8	10	0	0	14.6
2000	8	11	0	0	16.4
2000	8	12	0	0	16.3
2000	8	13	0	0	16.6
2000	8	14	0	0	17.2
2000	8	15	0	0	14.7
