YYYY	MM	DD	hh	mm	PREC
2020	6	19	0	0	0.0
2020	6	20	0	0	0.0
2020	6	21	0	0	0.0
2020	6	22	0	0	0.24
2020	6	23	0	0	0.0
2020	6	24	0	0	0.0
2020	6	25	0	0	0.0
2020	6	26	0	0	5.04
2020	6	27	0	0	0.0
2020	6	28	0	0	12.42
2020	6	29	0	0	3.83
2020	6	30	0	0	0.0
2020	7	1	0	0	0.42
2020	7	2	0	0	3.37
2020	7	3	0	0	0.0
2020	7	4	0	0	0.0
2020	7	5	0	0	0.0
2020	7	6	0	0	2.35
2020	7	7	0	0	0.0
2020	7	8	0	0	0.0
2020	7	9	0	0	0.0
2020	7	10	0	0	0.07
2020	7	11	0	0	0.8
2020	7	12	0	0	0.0
2020	7	13	0	0	0.0
2020	7	14	0	0	0.0
2020	7	15	0	0	8.09
2020	7	16	0	0	4.97
2020	7	17	0	0	0.24
2020	7	18	0	0	0.0
2020	7	19	0	0	0.0
2020	7	20	0	0	0.0
2020	7	21	0	0	0.0
2020	7	22	0	0	0.0
2020	7	23	0	0	0.0
2020	7	24	0	0	0.0
2020	7	25	0	0	0.0
2020	7	26	0	0	3.41
2020	7	27	0	0	0.0
2020	7	28	0	0	0.0
2020	7	29	0	0	0.0
2020	7	30	0	0	0.0
2020	7	31	0	0	0.0
2020	8	1	0	0	6.52
2020	8	2	0	0	16.93
2020	8	3	0	0	23.02
2020	8	4	0	0	1.93
2020	8	5	0	0	0.0
2020	8	6	0	0	0.0
2020	8	7	0	0	0.0
2020	8	8	0	0	0.0
2020	8	9	0	0	0.0
2020	8	10	0	0	0.0
2020	8	11	0	0	0.0
2020	8	12	0	0	0.0
2020	8	13	0	0	0.0
2020	8	14	0	0	0.88
2020	8	15	0	0	0.0
2020	8	16	0	0	9.84
2020	8	17	0	0	2.62
2020	8	18	0	0	0.0
2020	8	19	0	0	0.0
2020	8	20	0	0	0.0
2020	8	21	0	0	0.0
2020	8	22	0	0	0.74
2020	8	23	0	0	0.0
2020	8	24	0	0	0.0
2020	8	25	0	0	0.0
2020	8	26	0	0	0.0
2020	8	27	0	0	0.0
2020	8	28	0	0	15.26
2020	8	29	0	0	0.0
2020	8	30	0	0	32.77
2020	8	31	0	0	0.0
2020	9	1	0	0	1.75
2020	9	2	0	0	0.0
2020	9	3	0	0	0.0
2020	9	4	0	0	0.0
2020	9	5	0	0	0.0
2020	9	6	0	0	0.0
2020	9	7	0	0	0.0
2020	9	8	0	0	0.0
2020	9	9	0	0	0.0
2020	9	10	0	0	0.0
2020	9	11	0	0	0.0
2020	9	12	0	0	0.0
2020	9	13	0	0	0.0
2020	9	14	0	0	0.0
2020	9	15	0	0	0.0
2020	9	16	0	0	0.0
