YYYY	MM	DD	hh	mm	PREC
2013	3	15	0	0	0.0
2013	3	16	0	0	0.0
2013	3	17	0	0	5.66
2013	3	18	0	0	9.51
2013	3	19	0	0	5.69
2013	3	20	0	0	3.39
2013	3	21	0	0	1.26
2013	3	22	0	0	0.0
2013	3	23	0	0	0.0
2013	3	24	0	0	0.0
2013	3	25	0	0	2.61
2013	3	26	0	0	0.87
2013	3	27	0	0	0.0
2013	3	28	0	0	1.04
2013	3	29	0	0	0.38
2013	3	30	0	0	0.0
2013	3	31	0	0	0.0
2013	4	1	0	0	0.0
2013	4	2	0	0	0.0
2013	4	3	0	0	0.0
2013	4	4	0	0	0.0
2013	4	5	0	0	0.0
2013	4	6	0	0	0.0
2013	4	7	0	0	0.0
2013	4	8	0	0	0.49
2013	4	9	0	0	6.05
2013	4	10	0	0	6.12
2013	4	11	0	0	11.48
2013	4	12	0	0	9.97
2013	4	13	0	0	2.85
2013	4	14	0	0	0.0
2013	4	15	0	0	0.0
2013	4	16	0	0	0.0
2013	4	17	0	0	0.0
2013	4	18	0	0	0.0
2013	4	19	0	0	0.0
2013	4	20	0	0	2.12
2013	4	21	0	0	0.0
2013	4	22	0	0	0.0
2013	4	23	0	0	0.0
2013	4	24	0	0	0.0
2013	4	25	0	0	0.0
2013	4	26	0	0	11.21
2013	4	27	0	0	16.95
2013	4	28	0	0	0.49
2013	4	29	0	0	0.22
2013	4	30	0	0	0.89
2013	5	1	0	0	0.0
2013	5	2	0	0	0.24
2013	5	3	0	0	4.26
2013	5	4	0	0	2.96
2013	5	5	0	0	0.0
2013	5	6	0	0	0.0
2013	5	7	0	0	0.0
2013	5	8	0	0	0.0
2013	5	9	0	0	0.79
2013	5	10	0	0	3.83
2013	5	11	0	0	0.85
2013	5	12	0	0	8.27
2013	5	13	0	0	0.95
2013	5	14	0	0	0.0
2013	5	15	0	0	3.87
2013	5	16	0	0	1.29
2013	5	17	0	0	0.0
2013	5	18	0	0	0.0
2013	5	19	0	0	5.12
2013	5	20	0	0	0.59
2013	5	21	0	0	2.43
2013	5	22	0	0	4.83
2013	5	23	0	0	7.91
2013	5	24	0	0	0.0
2013	5	25	0	0	0.58
2013	5	26	0	0	19.5
2013	5	27	0	0	5.65
2013	5	28	0	0	5.06
2013	5	29	0	0	10.35
2013	5	30	0	0	6.34
2013	5	31	0	0	36.62
2013	6	1	0	0	20.93
2013	6	2	0	0	0.19
2013	6	3	0	0	1.02
2013	6	4	0	0	0.0
2013	6	5	0	0	0.0
2013	6	6	0	0	0.0
2013	6	7	0	0	0.0
2013	6	8	0	0	0.0
2013	6	9	0	0	17.8
2013	6	10	0	0	1.6
2013	6	11	0	0	0.0
2013	6	12	0	0	0.0
2013	6	13	0	0	15.48
2013	6	14	0	0	2.72
2013	6	15	0	0	0.0
2013	6	16	0	0	0.0
2013	6	17	0	0	0.0
2013	6	18	0	0	0.0
2013	6	19	0	0	0.0
2013	6	20	0	0	1.11
2013	6	21	0	0	1.08
2013	6	22	0	0	0.0
2013	6	23	0	0	0.0
2013	6	24	0	0	0.39
2013	6	25	0	0	2.26
2013	6	26	0	0	0.0
2013	6	27	0	0	0.41
2013	6	28	0	0	0.0
2013	6	29	0	0	8.25
2013	6	30	0	0	0.0
2013	7	1	0	0	0.0
2013	7	2	0	0	0.0
2013	7	3	0	0	6.49
2013	7	4	0	0	4.68
2013	7	5	0	0	0.0
2013	7	6	0	0	0.0
2013	7	7	0	0	0.0
2013	7	8	0	0	0.0
2013	7	9	0	0	0.0
2013	7	10	0	0	0.0
2013	7	11	0	0	0.0
2013	7	12	0	0	0.0
2013	7	13	0	0	0.0
2013	7	14	0	0	0.0
2013	7	15	0	0	0.0
2013	7	16	0	0	0.0
2013	7	17	0	0	0.0
2013	7	18	0	0	0.0
2013	7	19	0	0	0.0
2013	7	20	0	0	0.0
2013	7	21	0	0	0.0
2013	7	22	0	0	0.0
2013	7	23	0	0	8.96
2013	7	24	0	0	0.66
2013	7	25	0	0	0.0
2013	7	26	0	0	0.0
2013	7	27	0	0	0.87
2013	7	28	0	0	24.44
2013	7	29	0	0	38.05
2013	7	30	0	0	0.0
